week	category	weekly_rank	show_title	season_title	weekly_hours_viewed	cumulative_weeks_in_top_10
2022-10-23	Films (English)	1	The School for Good and Evil	N/A	78830000	1
2022-10-23	Films (English)	2	The Curse of Bridge Hollow	N/A	25340000	2
2022-10-23	Films (English)	3	Luckiest Girl Alive	N/A	19300000	3
2022-10-23	Films (English)	4	The Stranger	N/A	17040000	1
2022-10-23	Films (English)	5	Blackout	N/A	12120000	2
2022-10-23	Films (English)	6	Black and Blue	N/A	9200000	2
2022-10-23	Films (English)	7	Sing	N/A	7300000	3
2022-10-23	Films (English)	8	Mr. Harrigan's Phone	N/A	5770000	3
2022-10-23	Films (English)	9	The Boss Baby	N/A	5190000	3
2022-10-23	Films (English)	10	Charlie's Angels	N/A	4920000	1
2022-10-23	Films (Non-English)	1	Someone Borrowed	N/A	14120000	2
2022-10-23	Films (Non-English)	2	20th Century Girl	N/A	8000000	1
2022-10-23	Films (Non-English)	3	Dobaaraa	N/A	3780000	2
2022-10-23	Films (Non-English)	4	Old People	N/A	3600000	3
2022-10-23	Films (Non-English)	5	Laal Singh Chaddha	N/A	3080000	3
2022-10-23	Films (Non-English)	6	Doll House	N/A	2050000	2
2022-10-23	Films (Non-English)	7	Forever Rich	N/A	2010000	2
2022-10-23	Films (Non-English)	8	Loving Adults	N/A	1790000	7
2022-10-23	Films (Non-English)	9	Blood Red Sky	N/A	1510000	16
2022-10-23	Films (Non-English)	10	Usogui	N/A	1320000	2
2022-10-23	TV (English)	1	The Watcher	The Watcher: Season 1	148240000	2
2022-10-23	TV (English)	2	DAHMER	DAHMER: Monster: The Jeffrey Dahmer Story	69110000	5
2022-10-23	TV (English)	3	From Scratch	From Scratch: Limited Series	32230000	1
2022-10-23	TV (English)	4	Love Is Blind	Love Is Blind: Season 3	24890000	1
2022-10-23	TV (English)	5	The Midnight Club	The Midnight Club: Season 1	21650000	3
2022-10-23	TV (English)	6	Unsolved Mysteries	Unsolved Mysteries: Volume 3	18930000	1
2022-10-23	TV (English)	7	The Sinner	The Sinner: Season 4: Percy	13240000	3
2022-10-23	TV (English)	8	28 Days Haunted	28 Days Haunted: Season 1	12980000	1
2022-10-23	TV (English)	9	Dynasty	Dynasty: Season 5	12610000	5
2022-10-23	TV (English)	10	Wild Croc Territory	Wild Croc Territory: Season 1	11550000	1
2022-10-23	TV (Non-English)	1	Til Money Do Us Part	Til Money Do Us Part: Season 1	21870000	1
2022-10-23	TV (Non-English)	2	Holy Family	Holy Family: Season 1	18590000	2
2022-10-23	TV (Non-English)	3	Little Women	Little Women: Season 1	15550000	7
2022-10-23	TV (Non-English)	4	The Empress	The Empress: Season 1	15090000	4
2022-10-23	TV (Non-English)	5	Barbarians	Barbarians: II	14590000	1
2022-10-23	TV (Non-English)	6	Vatican Girl: The Disappearance of Emanuela Orlandi	Vatican Girl: The Disappearance of Emanuela Orlandi: Limited Series	11580000	1
2022-10-23	TV (Non-English)	7	The Playlist	The Playlist: Limited Series	10920000	1
2022-10-23	TV (Non-English)	8	Extraordinary Attorney Woo	Extraordinary Attorney Woo: Season 1	10490000	16
2022-10-23	TV (Non-English)	9	High Water	High Water: Season 1	10290000	3
