category	rank	show_title	season_title	hours_viewed_first_91_days	runtime	views_first_91_days
Films (English)	1	Red Notice	N/A	454200000	1.9667	230900000
Films (English)	2	Don't Look Up	N/A	408600000	2.3833	171400000
Films (English)	3	The Adam Project	N/A	281000000	1.7833	157600000
Films (English)	4	Bird Box	N/A	325300000	2.0667	157400000
Films (English)	5	The Gray Man	N/A	299500000	2.15	139300000
Films (English)	6	We Can Be Heroes	N/A	231200000	1.6833	137300000
Films (English)	7	Glass Onion: A Knives Out Mystery	N/A	320300000	2.35	136300000
Films (English)	8	Extraction	N/A	266900000	1.9667	135700000
Films (English)	9	The Mother	N/A	256600000	1.95	131600000
Films (English)	10	Spenser Confidential	N/A	238900000	1.85	129100000
Films (Non-English)	1	Troll	N/A	178600000	1.7333	103000000
Films (Non-English)	2	The Platform	N/A	129700000	1.5667	82800000
Films (Non-English)	3	Through My Window	N/A	116000000	1.9	61100000
Films (Non-English)	4	Blood Red Sky	N/A	124800000	2.05	60900000
Films (Non-English)	5	AKA	N/A	123500000	2.0667	59800000
Films (Non-English)	6	My Name Is Vendetta	N/A	86500000	1.5333	56400000
Films (Non-English)	7	Black Crab	N/A	103300000	1.9167	53900000
Films (Non-English)	8	All Quiet on the Western Front	N/A	129400000	2.4833	52100000
Films (Non-English)	9	Below Zero	N/A	86700000	1.7833	48600000
Films (Non-English)	10	Loving Adults	N/A	83600000	1.7667	47300000
TV (English)	1	Wednesday	Wednesday: Season 1	1718800000	6.8167	252100000
TV (English)	2	Stranger Things	Stranger Things 4	1838000000	13.0667	140700000
TV (English)	3	DAHMER	DAHMER: Monster: The Jeffrey Dahmer Story	1031100000	8.9167	115600000
TV (English)	4	Bridgerton	Bridgerton: Season 1	929300000	8.2	113300000
TV (English)	5	The Queen's Gambit	The Queen's Gambit: Limited Series	746400000	6.6167	112800000
TV (English)	6	The Night Agent	The Night Agent: Season 1	803200000	8.1833	98200000
TV (English)	7	Stranger Things	Stranger Things 3	716100000	7.55	94800000
TV (English)	8	Bridgerton	Bridgerton: Season 2	797200000	8.5	93800000
TV (English)	9	The Witcher	The Witcher: Season 1	663600000	8	83000000
TV (English)	10	The Watcher	The Watcher: Season 1	447100000	5.6167	79600000
TV (Non-English)	1	Squid Game	Squid Game: Season 1	2205200000	8.3167	265200000
TV (Non-English)	2	Money Heist	Money Heist: Part 4	710200000	6.7	106000000
TV (Non-English)	3	Lupin	Lupin: Part 1	396300000	3.9833	99500000
TV (Non-English)	4	Money Heist	Money Heist: Part 5	900700000	9.0833	99200000
TV (Non-English)	5	Money Heist	Money Heist: Part 3	519800000	6.5	80000000
TV (Non-English)	6	Lupin	Lupin: Part 2	258900000	3.7833	68400000
TV (Non-English)	7	Who Killed Sara?	Who Killed Sara?: Season 1	392400000	6.7167	58400000
TV (Non-English)	8	All of Us Are Dead	All of Us Are Dead: Season 1	679300000	12.2333	55500000
TV (Non-English)	9	Elite	Elite: Season 3	334800000	6.7	50000000
TV (Non-English)	10	Elite	Elite: Season 4	302200000	6.5333	46300000
